Reference_Data_ID;Product_ID;Pricing_Parameter_Value;Product_Description;Pricing_Parameter_Type_ID;Pricing_Parameter_Type_Name;Pricing_Parameter_ID;Pricing_Parameter_Name;Reference_Data_Type;Reference_Data_Name;Valid_From;Valid_To
575;1;1;Temperature only;4;Airport;4;Low risk;Airport;Mar de Cortés International Airport;2018-01-01;9999-12-31
575;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Mar de Cortés International Airport;2018-01-01;9999-12-31
576;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Port Moresby Jacksons International Airport;2018-01-01;9999-12-31
576;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Port Moresby Jacksons International Airport;2018-01-01;9999-12-31
577;1;2;Temperature only;4;Airport;22;High risk;Airport;Keflavik International Airport;2018-01-01;9999-12-31
577;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Keflavik International Airport;2018-01-01;9999-12-31
578;1;1;Temperature only;4;Airport;4;Low risk;Airport;Priština International Airport;2018-01-01;9999-12-31
578;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Priština International Airport;2018-01-01;9999-12-31
579;1;1;Temperature only;4;Airport;4;Low risk;Airport;Edmonton International Airport;2018-01-01;9999-12-31
579;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Edmonton International Airport;2018-01-01;9999-12-31
580;1;1;Temperature only;4;Airport;4;Low risk;Airport;Halifax / Stanfield International Airport;2018-01-01;9999-12-31
580;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Halifax / Stanfield International Airport;2018-01-01;9999-12-31
581;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Ottawa Macdonald-Cartier International Airport;2018-01-01;9999-12-31
581;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Ottawa Macdonald-Cartier International Airport;2018-01-01;9999-12-31
582;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Montreal / Pierre Elliott Trudeau International Airport;2018-01-01;9999-12-31
582;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Montreal / Pierre Elliott Trudeau International Airport;2018-01-01;9999-12-31
583;1;1;Temperature only;4;Airport;4;Low risk;Airport;Vancouver International Airport;2018-01-01;9999-12-31
583;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Vancouver International Airport;2018-01-01;9999-12-31
584;1;1;Temperature only;4;Airport;4;Low risk;Airport;Winnipeg / James Armstrong Richardson International Airport;2018-01-01;9999-12-31
584;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Winnipeg / James Armstrong Richardson International Airport;2018-01-01;9999-12-31
585;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Calgary International Airport;2018-01-01;9999-12-31
